company_name,domain,industry,sub_industry,employee_count,founded_year,headquarters,hq_country,last_funding_year,funding_total_usd,headcount_6mo_delta_pct,founder_is_ceo,has_pe_backing,tech_stack_signals,ai_job_posts_count,recent_news_count,description
Linear,linear.app,B2B SaaS,Project Management,140,2019,San Francisco CA,US,2022,52000000,18,True,False,"react,nextjs,graphql,postgres,vercel",6,12,Issue tracking and project management tool engineered for high-velocity software teams
Retool,retool.com,B2B SaaS,Internal Tools,520,2017,San Francisco CA,US,2023,141000000,12,True,True,"react,typescript,kubernetes,aws,postgres",14,22,Low-code platform for building internal tools and dashboards on top of any database
Vercel,vercel.com,B2B SaaS,DevOps,610,2015,San Francisco CA,US,2024,250000000,15,True,True,"nextjs,react,edge,serverless,turbo",18,30,Frontend cloud platform for deploying and scaling Next.js and other modern web apps
Plaid,plaid.com,B2B SaaS,FinTech Infrastructure,1200,2013,San Francisco CA,US,2021,425000000,-3,True,True,"go,python,aws,kubernetes,kafka",9,28,Financial data connectivity API powering thousands of fintech apps
PostHog,posthog.com,B2B SaaS,Product Analytics,180,2020,London UK,UK,2024,70000000,32,True,False,"clickhouse,django,react,kubernetes,kafka",11,18,Open-source product analytics suite combining events session replay and feature flags
Hightouch,hightouch.com,B2B SaaS,Reverse ETL,165,2018,San Francisco CA,US,2023,38000000,22,True,False,"react,typescript,go,bigquery,snowflake",8,9,Composable customer data platform that activates warehouse data into business tools
Clay,clay.com,B2B SaaS,Sales Intelligence,75,2017,New York NY,US,2024,46000000,68,True,False,"nextjs,typescript,postgres,redis,openai",12,15,Sales prospecting and outbound automation platform with built-in AI research agents
Apollo.io,apollo.io,B2B SaaS,Sales Engagement,950,2015,San Francisco CA,US,2023,100000000,9,True,True,"react,python,postgres,elasticsearch",7,11,All-in-one sales platform with B2B contact database and engagement automation
Gong,gong.io,B2B SaaS,Revenue Intelligence,1500,2015,Palo Alto CA,US,2021,250000000,-8,False,True,"python,react,kafka,aws,redshift",6,14,Revenue intelligence platform that captures and analyzes customer interactions
Loom,loom.com,B2B SaaS,Async Video,420,2015,San Francisco CA,US,2023,200000000,-5,False,True,"react,go,aws,postgres",4,8,Video messaging platform for asynchronous team and customer communication
Notion,notion.so,B2B SaaS,Productivity,820,2013,San Francisco CA,US,2021,275000000,7,True,True,"react,rust,aws,postgres,nextjs",16,25,Connected workspace combining notes docs projects and knowledge base in one tool
Airtable,airtable.com,B2B SaaS,Productivity,1100,2012,San Francisco CA,US,2021,735000000,-10,True,True,"react,nodejs,aws,postgres",5,12,No-code platform that lets teams build relational apps from a familiar spreadsheet UI
Webflow,webflow.com,B2B SaaS,No-Code,940,2013,San Francisco CA,US,2022,120000000,-4,True,True,"javascript,nodejs,aws,mongodb",4,10,Visual website builder and CMS for designers and marketing teams
Pipedrive,pipedrive.com,B2B SaaS,CRM,1000,2010,New York NY,US,2020,90000000,3,False,True,"php,react,aws,mysql",2,6,Sales CRM and pipeline management platform aimed at SMB sales teams
Close,close.com,B2B SaaS,CRM,160,2013,San Francisco CA,US,2017,8000000,8,True,False,"python,react,postgres,aws",3,4,Inside sales CRM with built-in calling email and SMS for high-velocity sales teams
Pylon,usepylon.com,B2B SaaS,Customer Support,55,2022,San Francisco CA,US,2024,17000000,75,True,False,"nextjs,typescript,postgres,openai",5,7,Modern B2B support platform that unifies Slack email and chat customer channels
Replicate,replicate.com,B2B SaaS,AI Infrastructure,90,2019,San Francisco CA,US,2024,40000000,55,True,False,"python,go,kubernetes,gpu,docker",24,22,Cloud platform for running and fine-tuning open-source AI models via simple API
Pinecone,pinecone.io,B2B SaaS,AI Infrastructure,180,2019,New York NY,US,2023,138000000,40,True,True,"rust,go,kubernetes,aws,gcp",20,26,Managed vector database purpose-built for production AI and semantic search apps
LangChain,langchain.com,B2B SaaS,AI Infrastructure,80,2022,San Francisco CA,US,2024,25000000,90,True,False,"python,typescript,postgres,redis",30,35,Framework and platform for building LLM-powered applications with observability
Anyscale,anyscale.com,B2B SaaS,AI Infrastructure,250,2019,San Francisco CA,US,2021,100000000,-12,False,True,"python,kubernetes,ray,aws,gpu",15,12,Managed Ray platform for scaling Python and AI workloads across clusters
Chroma,trychroma.com,B2B SaaS,AI Infrastructure,40,2022,San Francisco CA,US,2023,18000000,80,True,False,"python,rust,postgres,docker",18,14,Open-source embedding database for building LLM apps with retrieval-augmented generation
Runway,runwayml.com,B2B SaaS,AI Creative,200,2018,New York NY,US,2024,141000000,42,True,True,"python,react,gpu,aws,kubernetes",16,28,Generative AI platform for video editing image generation and creative production
Jasper,jasper.ai,B2B SaaS,AI Marketing,300,2021,Austin TX,US,2022,125000000,-25,False,True,"python,react,aws,openai",8,11,AI copywriting platform for marketing teams and content production at scale
Writer,writer.com,B2B SaaS,AI Enterprise,320,2020,San Francisco CA,US,2023,200000000,28,True,True,"python,react,kubernetes,aws",13,19,Generative AI platform for enterprise teams with company-trained models and guardrails
Glean,glean.com,B2B SaaS,AI Enterprise,450,2019,Palo Alto CA,US,2024,260000000,38,True,True,"python,react,kubernetes,gcp",17,24,Enterprise search and AI assistant that connects across all internal company tools
Hex,hex.tech,B2B SaaS,Data Science,180,2019,San Francisco CA,US,2022,55000000,16,True,True,"python,react,postgres,kubernetes",10,11,Collaborative data workspace combining notebooks SQL and BI in a single platform
Census,getcensus.com,B2B SaaS,Reverse ETL,140,2018,San Francisco CA,US,2022,60000000,8,True,False,"go,react,postgres,bigquery",6,7,Data activation platform that syncs warehouse data to operational SaaS tools
dbt Labs,getdbt.com,B2B SaaS,Data Engineering,500,2016,Philadelphia PA,US,2022,222000000,-6,True,True,"python,react,postgres,snowflake",8,16,Analytics engineering platform for building reliable data pipelines in the modern stack
Snowplow,snowplow.io,B2B SaaS,Data Engineering,180,2012,London UK,UK,2022,40000000,5,False,True,"scala,kafka,aws,gcp",4,6,Behavioral data platform for collecting and modeling first-party event data
Hugging Face,huggingface.co,B2B SaaS,AI Infrastructure,400,2016,New York NY,US,2023,235000000,35,True,True,"python,rust,kubernetes,aws,gpu",26,40,Platform for sharing fine-tuning and deploying open-source machine learning models
Modal,modal.com,B2B SaaS,AI Infrastructure,55,2021,New York NY,US,2024,16000000,70,True,False,"python,rust,kubernetes,gpu",14,11,Serverless platform for running Python and AI workloads with on-demand GPUs
Together AI,together.ai,B2B SaaS,AI Infrastructure,130,2022,San Francisco CA,US,2024,106000000,85,True,True,"python,cuda,kubernetes,gpu",22,18,Cloud platform for training fine-tuning and serving open-source LLMs at scale
Mintlify,mintlify.com,B2B SaaS,Developer Tools,45,2021,San Francisco CA,US,2024,18000000,65,True,False,"nextjs,typescript,vercel,openai",7,8,Modern AI-powered documentation platform for fast-moving developer-tool companies
Resend,resend.com,B2B SaaS,Developer Tools,35,2022,San Francisco CA,US,2024,18000000,75,True,False,"nextjs,typescript,aws,postgres",4,9,Email API for developers built by the team behind React Email components
Trigger.dev,trigger.dev,B2B SaaS,Developer Tools,30,2022,Cambridge UK,UK,2024,3000000,60,True,False,"nextjs,typescript,postgres,redis",6,5,Open-source background jobs framework with long-running task durability for Node.js
Inngest,inngest.com,B2B SaaS,Developer Tools,40,2021,San Francisco CA,US,2023,21000000,55,True,False,"go,typescript,kubernetes,aws",5,6,Durable execution platform for queues background jobs and event-driven workflows
Supabase,supabase.com,B2B SaaS,Developer Tools,200,2020,Singapore,SG,2024,80000000,45,True,True,"postgres,go,typescript,kubernetes",9,21,Open-source backend-as-a-service alternative to Firebase built on Postgres
Neon,neon.tech,B2B SaaS,Database,150,2021,Wilmington DE,US,2024,46000000,50,True,True,"rust,postgres,kubernetes,aws",8,14,Serverless Postgres platform with branching and instant point-in-time recovery
PlanetScale,planetscale.com,B2B SaaS,Database,170,2018,Hayward CA,US,2024,105000000,-20,True,True,"go,vitess,kubernetes,aws",4,9,MySQL-compatible serverless database platform with branching and zero-downtime schema changes
